FlightID,AirlineID,AircraftID,DepartureLocationID,ArrivalLocationID,DepartureTime,ArrivalTime,FlightDuration,PassengerCount
1,2,2,3,2,2025-02-04 19:07:15.074446,2025-02-04 21:07:15.074446,2,70
2,3,2,4,1,2024-08-11 19:07:15.074479,2024-08-12 05:07:15.074479,10,88
3,5,4,4,8,2025-02-13 19:07:15.074492,2025-02-13 20:07:15.074492,1,113
4,3,3,2,5,2024-07-27 19:07:15.074505,2024-07-28 03:07:15.074505,8,282
5,1,2,6,6,2025-04-04 19:07:15.074513,2025-04-04 20:07:15.074513,1,228
6,5,3,2,3,2024-09-03 19:07:15.074520,2024-09-03 21:07:15.074520,2,243
7,4,1,6,5,2024-09-20 19:07:15.074528,2024-09-20 21:07:15.074528,2,158
8,1,1,5,8,2024-04-27 19:07:15.074536,2024-04-27 22:07:15.074536,3,187
9,1,4,8,5,2025-03-16 19:07:15.074545,2025-03-17 06:07:15.074545,11,247
10,3,3,1,5,2025-01-11 19:07:15.074554,2025-01-11 20:07:15.074554,1,282
11,3,2,4,6,2025-01-14 19:07:15.074561,2025-01-15 03:07:15.074561,8,136
12,1,1,8,2,2024-12-08 19:07:15.074567,2024-12-09 04:07:15.074567,9,51
13,4,3,6,5,2024-11-13 19:07:15.074574,2024-11-13 23:07:15.074574,4,187
14,2,4,2,6,2024-06-04 19:07:15.074580,2024-06-04 20:07:15.074580,1,235
15,3,3,6,7,2024-07-13 19:07:15.074587,2024-07-14 02:07:15.074587,7,165
16,4,3,1,1,2024-06-03 19:07:15.074593,2024-06-03 21:07:15.074593,2,87
17,1,2,7,2,2024-06-08 19:07:15.074599,2024-06-09 03:07:15.074599,8,183
18,1,2,8,3,2025-02-02 19:07:15.074606,2025-02-03 05:07:15.074606,10,136
19,2,2,5,4,2025-03-31 19:07:15.074612,2025-04-01 01:07:15.074612,6,155
20,6,4,6,3,2024-07-28 19:07:15.074619,2024-07-28 23:07:15.074619,4,257
21,4,3,2,4,2024-07-19 19:07:15.074625,2024-07-19 22:07:15.074625,3,74
22,5,3,3,2,2024-07-04 19:07:15.074642,2024-07-05 04:07:15.074642,9,76
23,6,4,8,6,2025-01-02 19:07:15.074648,2025-01-03 05:07:15.074648,10,134
24,2,4,8,7,2024-11-27 19:07:15.074655,2024-11-28 07:07:15.074655,12,122
25,1,2,5,4,2025-03-06 19:07:15.074672,2025-03-07 07:07:15.074672,12,171
26,3,4,8,6,2024-06-19 19:07:15.074678,2024-06-19 20:07:15.074678,1,142
27,4,2,7,7,2024-12-08 19:07:15.074684,2024-12-09 05:07:15.074684,10,69
28,1,3,5,4,2024-07-23 19:07:15.074690,2024-07-24 07:07:15.074690,12,258
29,4,4,1,3,2024-12-14 19:07:15.074697,2024-12-15 02:07:15.074697,7,126
30,4,4,7,2,2025-02-02 19:07:15.074704,2025-02-03 02:07:15.074704,7,175
31,6,1,6,7,2025-03-15 19:07:15.074711,2025-03-16 04:07:15.074711,9,195
32,6,2,5,8,2024-04-20 19:07:15.074717,2024-04-21 01:07:15.074717,6,65
33,6,1,5,1,2024-10-26 19:07:15.074724,2024-10-26 21:07:15.074724,2,215
34,1,4,4,8,2024-11-26 19:07:15.074730,2024-11-27 02:07:15.074730,7,130
35,1,1,7,6,2025-03-10 19:07:15.074737,2025-03-10 22:07:15.074737,3,156
36,4,3,8,6,2024-05-30 19:07:15.074743,2024-05-31 03:07:15.074743,8,291
37,4,4,7,7,2024-09-09 19:07:15.074749,2024-09-10 06:07:15.074749,11,82
38,4,2,3,3,2024-09-17 19:07:15.074756,2024-09-18 02:07:15.074756,7,161
39,6,4,3,8,2024-10-13 19:07:15.074762,2024-10-14 02:07:15.074762,7,107
40,5,4,3,8,2025-04-12 19:07:15.074768,2025-04-13 06:07:15.074768,11,272
41,5,1,3,6,2024-05-07 19:07:15.074774,2024-05-08 06:07:15.074774,11,78
42,3,4,8,8,2024-08-30 19:07:15.074781,2024-08-30 21:07:15.074781,2,55
43,2,1,8,8,2025-01-14 19:07:15.074790,2025-01-15 04:07:15.074790,9,261
44,5,4,7,5,2024-09-15 19:07:15.074796,2024-09-16 07:07:15.074796,12,188
45,1,2,5,6,2024-12-13 19:07:15.074802,2024-12-13 23:07:15.074802,4,203
46,3,2,3,5,2024-11-29 19:07:15.074808,2024-11-30 06:07:15.074808,11,84
47,4,3,2,1,2025-03-27 19:07:15.074814,2025-03-28 06:07:15.074814,11,223
48,6,2,2,6,2024-07-28 19:07:15.074820,2024-07-28 23:07:15.074820,4,250
49,5,3,3,8,2024-09-18 19:07:15.074827,2024-09-19 07:07:15.074827,12,240
50,2,2,6,5,2024-11-14 19:07:15.074833,2024-11-15 05:07:15.074833,10,226
51,1,2,8,8,2025-04-14 19:07:15.074839,2025-04-15 04:07:15.074839,9,276
52,6,4,1,5,2024-11-28 19:07:15.074846,2024-11-28 23:07:15.074846,4,267
53,4,1,2,7,2025-04-18 19:07:15.074852,2025-04-19 03:07:15.074852,8,136
54,1,3,8,5,2024-07-24 19:07:15.074859,2024-07-25 01:07:15.074859,6,87
55,2,3,8,3,2024-06-13 19:07:15.074865,2024-06-14 05:07:15.074865,10,89
56,5,4,1,6,2024-06-17 19:07:15.074873,2024-06-17 23:07:15.074873,4,263
57,5,4,7,5,2024-05-05 19:07:15.074879,2024-05-06 06:07:15.074879,11,189
58,5,3,6,7,2024-09-03 19:07:15.074886,2024-09-04 02:07:15.074886,7,254
59,2,1,5,3,2024-09-02 19:07:15.074892,2024-09-02 20:07:15.074892,1,265
60,6,3,3,4,2024-11-21 19:07:15.074899,2024-11-21 21:07:15.074899,2,51
61,1,2,5,8,2025-03-12 19:07:15.074905,2025-03-13 05:07:15.074905,10,169
62,3,4,1,2,2024-09-03 19:07:15.074911,2024-09-04 03:07:15.074911,8,68
63,6,1,3,5,2024-05-30 19:07:15.074918,2024-05-31 04:07:15.074918,9,141
64,1,4,1,3,2025-04-09 19:07:15.074924,2025-04-10 04:07:15.074924,9,269
65,1,4,3,3,2024-08-08 19:07:15.074931,2024-08-09 00:07:15.074931,5,57
66,2,3,5,8,2024-06-26 19:07:15.074937,2024-06-27 03:07:15.074937,8,130
67,1,3,8,4,2025-04-10 19:07:15.074944,2025-04-10 21:07:15.074944,2,182
68,6,1,1,5,2024-06-29 19:07:15.074950,2024-06-30 05:07:15.074950,10,225
69,3,3,6,5,2024-11-11 19:07:15.074956,2024-11-12 04:07:15.074956,9,126
70,6,3,6,3,2024-06-11 19:07:15.074963,2024-06-12 04:07:15.074963,9,281
71,3,2,4,8,2024-07-13 19:07:15.074969,2024-07-14 03:07:15.074969,8,76
72,1,4,1,6,2024-06-18 19:07:15.074976,2024-06-19 04:07:15.074976,9,224
73,5,3,3,1,2024-09-08 19:07:15.074982,2024-09-08 20:07:15.074982,1,259
74,2,4,5,5,2025-02-20 19:07:15.074988,2025-02-21 01:07:15.074988,6,133
